price,listing-location,bed,bath,surface_area,location
2880000000,"Sleman, Sleman",11,11,207.0,Sleman
725000000,"Kalasan, Sleman",4,2,130.0,Sleman
1350000000,"Sleman, Sleman",3,2,100.0,Sleman
520000000,"Sayegan, Sleman",2,1,90.0,Sleman
7250000000,"Mergangsan, Yogyakarta",23,11,500.0,Yogyakarta
2400000000,"Sleman, Sleman",4,3,187.0,Sleman
950000000,"Ngaglik, Sleman",3,2,175.0,Sleman
1480000000,"Sleman, Sleman",3,2,125.0,Sleman
2200000000,"Ngaglik, Sleman",10,10,122.0,Sleman
2430000000,"Gamping, Sleman",4,3,192.0,Sleman
2460000000,"Sleman, Sleman",4,3,196.0,Sleman
2360000000,"Sleman, Sleman",4,3,182.0,Sleman
2400000000,"Gamping, Sleman",4,3,187.0,Sleman
2650000000,"Sleman, Sleman",4,3,213.0,Sleman
1950000000,"Banguntapan, Bantul",4,3,630.0,Bantul
2550000000,"Maguwoharjo, Yogyakarta",4,4,175.0,Yogyakarta
7900000000,"Kraton, Yogyakarta",6,6,816.0,Yogyakarta
700000000,"Ngaglik, Sleman",2,2,108.0,Sleman
556000000,"Gondokusuman, Yogyakarta",2,1,84.0,Yogyakarta
725000000,"Sleman, Sleman",2,1,120.0,Sleman
2530000000,"Maguwoharjo, Yogyakarta",4,4,175.0,Yogyakarta
549000000,"Kalasan, Sleman",2,1,90.0,Sleman
898000000,"Maguwoharjo, Yogyakarta",3,2,90.0,Yogyakarta
8000000000,"Kaliurang, Sleman",24,24,385.0,Sleman
850000000,"Gamping, Sleman",3,1,96.0,Sleman
350000000,"Purwomartani   , Sleman",2,1,115.0,Sleman
2970000000,"Wirobrajan, Yogyakarta",5,2,143.0,Yogyakarta
1600000000,"Mergangsan, Yogyakarta",12,12,425.0,Yogyakarta
3800000000,"Pakem, Sleman",5,3,472.0,Sleman
2900000000,"Umbulharjo, Yogyakarta",3,2,365.0,Yogyakarta
2250000000,"Depok, Sleman",4,2,138.0,Sleman
4250000000,"Mantrijeron, Yogyakarta",3,3,425.0,Yogyakarta
2540000000,"Maguwoharjo, Yogyakarta",4,4,175.0,Yogyakarta
950000000,"Kraton, Yogyakarta",3,4,135.0,Yogyakarta
2300000000,"Gamping, Sleman",3,3,204.0,Sleman
525000000,"Kaliurang, Yogyakarta",2,1,126.0,Yogyakarta
499000000,"Gamping, Sleman",2,1,141.0,Sleman
1500000000,"Depok, Sleman",4,2,218.0,Sleman
2109999999,"Sleman, Sleman",3,2,110.0,Sleman
3870000000,"Sleman, Sleman",3,3,204.0,Sleman
3230000000,"Sleman, Sleman",3,3,153.0,Sleman
1250000000,"Kotagede, Yogyakarta",2,1,135.0,Yogyakarta
575000000,"Purwomartani   , Sleman",3,2,129.0,Sleman
900000000,"Depok, Sleman",3,2,153.0,Sleman
1900000000,"Depok, Sleman",5,4,158.0,Sleman
1600000000,"Mergangsan, Yogyakarta",12,12,425.0,Yogyakarta
1380000000,"Sleman, Sleman",3,2,107.0,Sleman
1600000000,"Gamping, Sleman",4,4,131.0,Sleman
1900000000,"Depok, Sleman",5,6,166.0,Sleman
7500000000,"Depok, Sleman",17,17,453.0,Sleman
13000000000,"Pakualaman, Yogyakarta",3,1,838.0,Yogyakarta
3000000000,"Ngaglik, Sleman",3,3,229.0,Sleman
1100000000,"Condong Catur, Sleman",3,2,187.0,Sleman
270000000,"Ngemplak, Sleman",2,1,61.0,Sleman
4200000000,"Sleman, Yogyakarta",4,4,564.0,Yogyakarta
1700000000,"Banguntapan, Bantul",3,2,118.0,Bantul
550000000,"Banguntapan, Bantul",6,3,94.0,Bantul
1950000000,"Banguntapan, Bantul",4,3,630.0,Bantul
1100000000,"Ngemplak, Sleman",2,1,110.0,Sleman
2600000000,"Turi, Sleman",4,4,1112.0,Sleman
25000000000,"Pakualaman, Yogyakarta",9,9,429.0,Yogyakarta
1200000000,"Kaliurang, Sleman",5,6,499.0,Sleman
1420000000,"Mlati, Sleman",5,4,144.0,Sleman
